Bialowieza	NP	Bialowieza
Forest	NP	Forest
is	VBZ	be
an	DT	an
irreplaceable	JJ	irreplaceable
area	NN	area
for	IN	for
biodiversity	NN	biodiversity
conservation	NN	conservation
,	,	,
due	JJ	due
in	IN	in
particular	JJ	particular
to	TO	to
its	PP$	its
size	NN	size
,	,	,
protection	NN	protection
status	NN	status
,	,	,
and	CC	and
substantially	RB	substantially
undisturbed	JJ	undisturbed
nature	NN	nature
.	SENT	.
The	DT	the
property	NN	property
is	VBZ	be
home	NN	home
to	TO	to
the	DT	the
largest	JJS	large
free-roaming	VVG	free-roam
population	NN	population
of	IN	of
European	NP	European
Bison	NP	Bison
,	,	,
which	WDT	which
is	VBZ	be
the	DT	the
iconic	JJ	iconic
species	NN	species
of	IN	of
this	DT	this
property	NN	property
.	SENT	.
However	RB	however
the	DT	the
biodiversity	NN	biodiversity
conservation	NN	conservation
values	NNS	value
are	VBP	be
extensive	JJ	extensive
,	,	,
and	CC	and
include	VVP	include
protection	NN	protection
for	IN	for
59	CD	@card@
mammal	NN	mammal
species	NNS	specie
,	,	,
over	IN	over
250	CD	@card@
bird	NN	bird
species	NNS	specie
,	,	,
13	CD	@card@
amphibians	NNS	amphibian
,	,	,
7	CD	@card@
reptiles	NNS	reptile
,	,	,
and	CC	and
over	IN	over
12,000	CD	@card@
invertebrates	NNS	invertebrate
.	SENT	.
The	DT	the
flora	NN	flora
is	VBZ	be
diverse	JJ	diverse
and	CC	and
regionally	RB	regionally
significant	JJ	significant
,	,	,
and	CC	and
the	DT	the
property	NN	property
also	RB	also
is	VBZ	be
notable	JJ	notable
for	IN	for
conservation	NN	conservation
of	IN	of
fungi	NNS	fungus
.	SENT	.
Several	JJ	several
new	JJ	new
species	NNS	specie
have	VHP	have
been	VBN	be
described	VVN	describe
here	RB	here
and	CC	and
many	JJ	many
threatened	JJ	threatened
species	NNS	specie
are	VBP	be
still	RB	still
well	RB	well
represented	VVN	represent
.	SENT	.
<span style="font-size: 0.73em;">
</span>
The	DT	the
property	NN	property
and	CC	and
the	DT	the
broader	JJR	broad
landscape	NN	landscape
are	VBP	be
a	DT	a
refuge	NN	refuge
for	IN	for
species	NNS	specie
of	IN	of
fauna	NNS	fauna
that	WDT	that
have	VHP	have
disappeared	VVN	disappear
or	CC	or
are	VBP	be
highly	RB	highly
threatened	VVN	threaten
in	IN	in
most	JJS	most
of	IN	of
the	DT	the
rest	NN	rest
of	IN	of
West	NP	West
Africa	NP	Africa
.	SENT	.
The	DT	the
W-Arly-Pendjari	NP	W-Arly-Pendjari
Complex	NP	Complex
is	VBZ	be
particularly	RB	particularly
crucial	JJ	crucial
to	TO	to
the	DT	the
conservation	NN	conservation
of	IN	of
the	DT	the
last	JJ	last
healthy	JJ	healthy
populations	NNS	population
of	IN	of
mammals	NNS	mammal
belonging	VVG	belong
to	TO	to
the	DT	the
Sahelian	NP	Sahelian
and	CC	and
Sudanian	NP	Sudanian
domains	NNS	domain
.	SENT	.
The	DT	the
Complex	NP	Complex
includes	VVZ	include
the	DT	the
largest	JJS	large
and	CC	and
most	RBS	most
ecologically	RB	ecologically
secure	JJ	secure
elephant	NN	elephant
population	NN	population
in	IN	in
West	NP	West
Africa	NP	Africa
,	,	,
representing	VVG	represent
85	CD	@card@
%	NN	%
of	IN	of
the	DT	the
region	NN	region
's	POS	's
savanna	NN	savanna
elephants	NNS	elephant
.	SENT	.
It	PP	it
also	RB	also
protects	VVZ	protect
almost	RB	almost
the	DT	the
complete	JJ	complete
assemblage	NN	assemblage
of	IN	of
characteristic	JJ	characteristic
flora	NN	flora
and	CC	and
fauna	NNS	fauna
,	,	,
providing	VVG	provide
crucial	JJ	crucial
habitat	NN	habitat
for	IN	for
most	JJS	most
of	IN	of
the	DT	the
large	JJ	large
mammal	NN	mammal
species	NNS	specie
typical	JJ	typical
of	IN	of
West	NP	West
Africa	NP	Africa
,	,	,
such	JJ	such
as	IN	as
African	NP	African
Manatee	NP	Manatee
,	,	,
Cheetah	NP	Cheetah
,	,	,
Lion	NP	Lion
,	,	,
Leopard	NP	Leopard
,	,	,
African	NP	African
Wild	NP	Wild
Dog	NP	Dog
and	CC	and
Topi	NP	Topi
Antelope	NP	Antelope
.	SENT	.
It	PP	it
harbours	VVZ	harbour
the	DT	the
only	JJ	only
viable	JJ	viable
population	NN	population
of	IN	of
lion	NN	lion
in	IN	in
the	DT	the
area	NN	area
and	CC	and
probably	RB	probably
the	DT	the
only	JJ	only
population	NN	population
of	IN	of
cheetah	NN	cheetah
in	IN	in
West	NP	West
Africa	NP	Africa
.	SENT	.
The	DT	the
site	NN	site
exhibits	VVZ	exhibit
particularly	RB	particularly
